r          d               f
12.2202    0.00640913   -3.54389242 
12.2202    0.00640913   -3.54389242 
12.2572    0.00232458   -3.54941096 
12.2572    0.00232458   -3.54941096 
12.2636    0.00581787   -3.54852439 
12.2636    0.00581787   -3.54852439 
12.2884    0.00078472   -3.55322218 
12.2884    0.00078472   -3.55322218 
12.2972    0.00635203   -3.55167174 
12.2972    0.00635203   -3.55167174 
12.4115    0.00505507   -3.56369783 
12.4115    0.00505507   -3.56369783 
12.4692    0.00130083   -3.57108547 
12.4692    0.00130083   -3.57108547 
12.4832    0.00374735   -3.57140331 
12.4832    0.00374735   -3.57140331 
12.5108    0.00657845   -3.57291853 
12.5108    0.00657845   -3.57291853 
12.5174    0.00432461   -3.57455350 
12.5174    0.00432461   -3.57455350 
12.5365    0.00064666   -3.57804895 
12.5365    0.00064666   -3.57804895 
12.5643    0.00312617   -3.57972108 
12.5643    0.00312617   -3.57972108 
12.6359    0.00672667   -3.58521420 
12.6359    0.00672667   -3.58521420 
12.6560    0.00289563   -3.58887337 
12.6560    0.00289563   -3.58887337 
12.6661    0.00480249   -3.58903363 
12.6661    0.00480249   -3.58903363 
12.7347    0.00418810   -3.59603544 
12.7347    0.00418810   -3.59603544 
12.7586    0.00251911   -3.59910114 
12.7586    0.00251911   -3.59910114 
12.7708    0.00627960   -3.59865414 
12.7708    0.00627960   -3.59865414 
12.8957    0.00649213   -3.61071814 
12.8957    0.00649213   -3.61071814 
12.9254    0.00514125   -3.61418317 
12.9254    0.00514125   -3.61418317 
13.0599    0.00064522   -3.62912402 
13.0599    0.00064522   -3.62912402 
13.0611    0.00197283   -3.62866188 
13.0611    0.00197283   -3.62866188 
13.0618    0.00096761   -3.62915996 
13.0618    0.00096761   -3.62915996 
13.0932    0.00120733   -3.63207576 
13.0932    0.00120733   -3.63207576 
13.1748    0.00166026   -3.63968145 
13.1748    0.00166026   -3.63968145 
13.1893    0.00085785   -3.64141645 
13.1893    0.00085785   -3.64141645 
13.2204    0.00333904   -3.64329751 
13.2204    0.00333904   -3.64329751 
13.2886    0.00532477   -3.64892147 
13.2886    0.00532477   -3.64892147 
13.3808    0.00543636   -3.65758887 
13.3808    0.00543636   -3.65758887 
13.4003    0.00494793   -3.65964823 
13.4003    0.00494793   -3.65964823 
13.4069    0.00601001   -3.65980135 
13.4069    0.00601001   -3.65980135 
13.4307    0.00214705   -3.66372521 
13.4307    0.00214705   -3.66372521 
13.4370    0.00615337   -3.66257454 
13.4370    0.00615337   -3.66257454 
13.4592    0.00064964   -3.66705441 
13.4592    0.00064964   -3.66705441 
13.4645    0.00151644   -3.66717852 
13.4645    0.00151644   -3.66717852 
13.5276    0.00571238   -3.67127144 
13.5276    0.00571238   -3.67127144 
13.5856    0.00431216   -3.67730279 
13.5856    0.00431216   -3.67730279 
13.7341    0.00074836   -3.69265071 
13.7341    0.00074836   -3.69265071 
13.7477    0.00535900   -3.69190019 
13.7477    0.00535900   -3.69190019 
13.8357    0.00575326   -3.69984024 
13.8357    0.00575326   -3.69984024 
13.8513    0.00259193   -3.70265595 
13.8513    0.00259193   -3.70265595 
13.8732    0.00346128   -3.70428681 
13.8732    0.00346128   -3.70428681 
13.8909    0.00300062   -3.70611717 
13.8909    0.00300062   -3.70611717 
13.8927    0.00057950   -3.70733433 
13.8927    0.00057950   -3.70733433 
13.9301    0.00361562   -3.70943840 
13.9301    0.00361562   -3.70943840 
13.9592    0.00387142   -3.71199617 
13.9592    0.00387142   -3.71199617 
13.9600    0.00115879   -3.71324260 
13.9600    0.00115879   -3.71324260 
14.0121    0.00252565   -3.71740822 
14.0121    0.00252565   -3.71740822 
14.1168    0.00565311   -3.72556072 
14.1168    0.00565311   -3.72556072 
14.1473    0.00419999   -3.72895599 
14.1473    0.00419999   -3.72895599 
14.1910    0.00120773   -3.73421435 
14.1910    0.00120773   -3.73421435 
14.2257    0.00088877   -3.73748061 
14.2257    0.00088877   -3.73748061 
14.2341    0.00207069   -3.73772433 
14.2341    0.00207069   -3.73772433 
14.2934    0.00526705   -3.74166328 
14.2934    0.00526705   -3.74166328 
14.2944    0.00558208   -3.74161874 
14.2944    0.00558208   -3.74161874 
14.3201    0.00158968   -3.74566792 
14.3201    0.00158968   -3.74566792 
14.4222    0.00293854   -3.75420915 
14.4222    0.00293854   -3.75420915 
14.4230    0.00066831   -3.75526568 
14.4230    0.00066831   -3.75526568 
14.4333    0.00442739   -3.75454629 
14.4333    0.00442739   -3.75454629 
14.4752    0.00061391   -3.75994227 
14.4752    0.00061391   -3.75994227 
14.4831    0.00469880   -3.75886160 
14.4831    0.00469880   -3.75886160 
14.5381    0.00089431   -3.76540921 
14.5381    0.00089431   -3.76540921 
14.5476    0.00426314   -3.76478106 
14.5476    0.00426314   -3.76478106 
14.5523    0.00166231   -3.76633051 
14.5523    0.00166231   -3.76633051 
14.5726    0.00498678   -3.76668365 
14.5726    0.00498678   -3.76668365 
14.6087    0.00198279   -3.77118405 
14.6087    0.00198279   -3.77118405 
14.7642    0.00373062   -3.78410697 
14.7642    0.00373062   -3.78410697 
14.7764    0.00055623   -3.78655183 
14.7764    0.00055623   -3.78655183 
14.8115    0.00454769   -3.78789318 
14.8115    0.00454769   -3.78789318 
14.8135    0.00509979   -3.78782702 
14.8135    0.00509979   -3.78782702 
14.8900    0.00525269   -3.79443121 
14.8900    0.00525269   -3.79443121 
14.9161    0.00507952   -3.79678142 
14.9161    0.00507952   -3.79678142 
14.9605    0.00131671   -3.80228031 
14.9605    0.00131671   -3.80228031 
15.0476    0.00233579   -3.80937466 
15.0476    0.00233579   -3.80937466 
15.1264    0.00316224   -3.81581405 
15.1264    0.00316224   -3.81581405 
15.1896    0.00070892   -3.82230902 
15.1896    0.00070892   -3.82230902 
15.1986    0.00504161   -3.82119384 
15.1986    0.00504161   -3.82119384 
15.2552    0.00282946   -3.82700456 
15.2552    0.00282946   -3.82700456 
15.2750    0.00053802   -3.82969900 
15.2750    0.00053802   -3.82969900 
15.2753    0.00456629   -3.82796562 
15.2753    0.00456629   -3.82796562 
15.2863    0.00090625   -3.83050726 
15.2863    0.00090625   -3.83050726 
15.2894    0.00317303   -3.82978332 
