r           d          f
13.1558    0.0026     -3.51296679
13.1558    0.0026     -3.51296679
13.1601    0.0037     -3.51281600
13.1601    0.0037     -3.51281600
13.3703    0.0039     -3.53033322
13.3703    0.0039     -3.53033322
13.4080    0.0017     -3.53440178
13.4080    0.0017     -3.53440178
13.4256    0.0022     -3.53563865
13.4256    0.0022     -3.53563865
13.4475    0.0009     -3.53802598
13.4475    0.0009     -3.53802598
13.4766    0.0007     -3.54053771
13.4766    0.0007     -3.54053771
13.4910    0.0009     -3.54164650
13.4910    0.0009     -3.54164650
13.5357    0.0007     -3.54541939
13.5357    0.0007     -3.54541939
13.6252    0.0006     -3.55280714
13.6252    0.0006     -3.55280714
13.6545    0.0028     -3.55424746
13.6545    0.0028     -3.55424746
13.6674    0.0037     -3.55488173
13.6674    0.0037     -3.55488173
13.6677    0.0011     -3.55606960
13.6677    0.0011     -3.55606960
13.6729    0.0013     -3.55640290
13.6729    0.0013     -3.55640290
13.7052    0.0038     -3.55792534
13.7052    0.0038     -3.55792534
13.7084    0.0039     -3.55815795
13.7084    0.0039     -3.55815795
13.7355    0.0031     -3.56071363
13.7355    0.0031     -3.56071363
13.7551    0.0024     -3.56263575
13.7551    0.0024     -3.56263575
13.7746    0.0019     -3.56441178
13.7746    0.0019     -3.56441178
13.9315    0.0005     -3.57770789
13.9315    0.0005     -3.57770789
13.9949    0.0033     -3.58160522
13.9949    0.0033     -3.58160522
14.0008    0.0013     -3.58294484
14.0008    0.0013     -3.58294484
14.0335    0.0019     -3.58529904
14.0335    0.0019     -3.58529904
14.1145    0.0037     -3.59099620
14.1145    0.0037     -3.59099620
14.1903    0.0008     -3.59831894
14.1903    0.0008     -3.59831894
14.1968    0.0016     -3.59846826
14.1968    0.0016     -3.59846826
14.2868    0.0029     -3.60504605
14.2868    0.0029     -3.60504605
14.2925    0.0010     -3.60630146
14.2925    0.0010     -3.60630146
14.3101    0.0031     -3.60680625
14.3101    0.0031     -3.60680625
14.3314    0.0036     -3.60825235
14.3314    0.0036     -3.60825235
14.3445    0.0026     -3.60970414
14.3445    0.0026     -3.60970414
14.3855    0.0006     -3.61383506
14.3855    0.0006     -3.61383506
14.4140    0.0032     -3.61493528
14.4140    0.0032     -3.61493528
14.4232    0.0034     -3.61558163
14.4232    0.0034     -3.61558163
14.4793    0.0015     -3.62078467
14.4793    0.0015     -3.62078467
