r           d           f
17.17      0.0041     -3.33511992
24.81      0.0049     -3.79065230
25.34      0.0053     -3.81786586
22.12      0.0051     -3.64382424
27.07      0.0043     -3.90498965
21.79      0.0044     -3.62507327
28.19      0.0048     -3.95900330
27.59      0.0046     -3.93035071
24.37      0.0045     -3.76770769
17.16      0.0026     -3.33465913
19.36      0.0039     -3.47920248
29.60      0.0050     -4.02465829
28.86      0.0050     -3.99056576
13.84      0.0027     -3.08962241
15.27      0.0003     -3.20008616
31.26      0.0050     -4.09898732
30.40      0.0051     -4.06091402
12.89      0.0038     -3.01150317
13.01      0.0048     -3.02160399
33.12      0.0049     -4.17933988
32.17      0.0050     -4.13855911
14.78      0.0039     -3.16122736
13.52      0.0001     -3.06208434
35.17      0.0046     -4.26352341
34.13      0.0047     -4.22107084
18.66      0.0073     -3.43325683
16.54      0.0063     -3.29030704
37.36      0.0043     -4.34982183
36.25      0.0044     -4.30649798
23.57      0.0068     -3.72386927
21.03      0.0073     -3.57967229
39.67      0.0039     -4.43694645
38.50      0.0041     -4.39334673
28.99      0.0056     -3.99632324
26.24      0.0062     -3.86311912
42.09      0.0036     -4.52396078
40.87      0.0038     -4.48051433
34.68      0.0045     -4.24397159
31.81      0.0050     -4.12322343
44.59      0.0033     -4.61020385
43.33      0.0035     -4.56721122
40.53      0.0037     -4.46842956
37.59      0.0041     -4.35890480
47.17      0.0030     -4.69522280
45.87      0.0032     -4.65288808
46.48      0.0030     -4.67291106
43.50      0.0033     -4.57296426
49.80      0.0028     -4.77871866
48.48      0.0029     -4.73717501
49.80      0.0028     -4.77871866
49.48      0.0028     -4.76864387
47.17      0.0030     -4.69522280
48.48      0.0029     -4.73717501
44.59      0.0033     -4.61020385
45.87      0.0032     -4.65288808
42.09      0.0036     -4.52396078
43.33      0.0035     -4.56721122
39.67      0.0039     -4.43694645
40.87      0.0038     -4.48051433
37.36      0.0043     -4.34982183
38.50      0.0041     -4.39334673
35.17      0.0046     -4.26352341
