r           d           f
11.0454    0.0018     -3.51106054
11.0454    0.0018     -3.51106054
11.1803    0.0018     -3.52395890
11.1803    0.0018     -3.52395890
11.1803    0.0018     -3.52395890
11.1803    0.0018     -3.52395890
11.1803    0.0018     -3.52395890
11.1803    0.0018     -3.52395890
11.1803    0.0018     -3.52395890
11.1803    0.0018     -3.52395890
11.1803    0.0018     -3.52396013
11.1803    0.0018     -3.52396013
11.1803    0.0018     -3.52396013
11.1803    0.0018     -3.52396013
11.1803    0.0018     -3.52396013
11.1803    0.0018     -3.52396013
11.1803    0.0018     -3.52396013
11.1803    0.0018     -3.52396013
11.3137    0.0018     -3.53658961
11.3137    0.0018     -3.53658961
11.3137    0.0018     -3.53658961
11.3137    0.0018     -3.53658961
11.4018    0.0017     -3.54486747
11.4018    0.0017     -3.54486747
11.4018    0.0017     -3.54486747
11.4018    0.0017     -3.54486747
11.4018    0.0017     -3.54486747
11.4018    0.0017     -3.54486747
11.4018    0.0017     -3.54486747
11.4018    0.0017     -3.54486747
11.4018    0.0017     -3.54486896
11.4018    0.0017     -3.54486896
11.4018    0.0017     -3.54486896
11.4018    0.0017     -3.54486896
11.4018    0.0017     -3.54486896
11.4018    0.0017     -3.54486896
11.4018    0.0017     -3.54486896
11.4018    0.0017     -3.54486896
11.6619    0.0017     -3.56904851
11.6619    0.0017     -3.56904851
11.6619    0.0017     -3.56904851
11.6619    0.0017     -3.56904851
11.6619    0.0017     -3.56904851
11.6619    0.0017     -3.56904851
11.6619    0.0017     -3.56904851
11.6619    0.0017     -3.56904851
11.7047    0.0017     -3.57298817
11.7047    0.0017     -3.57298817
11.7047    0.0017     -3.57298817
11.7047    0.0017     -3.57298817
11.7047    0.0017     -3.57298817
11.7047    0.0017     -3.57298817
11.7047    0.0017     -3.57298817
11.7047    0.0017     -3.57298817
12.0000    0.0016     -3.59987707
12.0000    0.0016     -3.59987707
12.0000    0.0016     -3.59987707
12.0000    0.0016     -3.59987707
12.0416    0.0016     -3.60362247
12.0416    0.0016     -3.60362247
12.0416    0.0016     -3.60362247
12.0416    0.0016     -3.60362247
12.0416    0.0016     -3.60362247
12.0416    0.0016     -3.60362247
12.0416    0.0016     -3.60362247
12.0416    0.0016     -3.60362247
12.0416    0.0016     -3.60362427
12.0416    0.0016     -3.60362427
12.0416    0.0016     -3.60362427
12.0416    0.0016     -3.60362427
12.0416    0.0016     -3.60362427
12.0416    0.0016     -3.60362427
12.0416    0.0016     -3.60362427
12.0416    0.0016     -3.60362427
12.0830    0.0016     -3.60734797
12.0830    0.0016     -3.60734797
12.0830    0.0016     -3.60734797
12.0830    0.0016     -3.60734797
12.0830    0.0016     -3.60734797
12.0830    0.0016     -3.60734797
12.0830    0.0016     -3.60734797
12.0830    0.0016     -3.60734797
12.1655    0.0016     -3.61473160
12.1655    0.0016     -3.61473160
12.1655    0.0016     -3.61473160
12.1655    0.0016     -3.61473160
12.1655    0.0016     -3.61473160
12.1655    0.0016     -3.61473160
12.1655    0.0016     -3.61473160
12.1655    0.0016     -3.61473160
12.2066    0.0016     -3.61838893
12.2066    0.0016     -3.61838893
12.2066    0.0016     -3.61838893
12.2066    0.0016     -3.61838893
12.2066    0.0016     -3.61838893
12.2066    0.0016     -3.61838893
12.2066    0.0016     -3.61838893
12.2066    0.0016     -3.61838893
12.3693    0.0015     -3.63281311
12.3693    0.0015     -3.63281311
12.3693    0.0015     -3.63281311
12.3693    0.0015     -3.63281311
12.3693    0.0015     -3.63281311
12.3693    0.0015     -3.63281311
12.3693    0.0015     -3.63281311
12.3693    0.0015     -3.63281311
12.5300    0.0015     -3.64690880
12.5300    0.0015     -3.64690880
12.5300    0.0015     -3.64690880
12.5300    0.0015     -3.64690880
12.5300    0.0015     -3.64690880
12.5300    0.0015     -3.64690880
12.5300    0.0015     -3.64690880
12.5300    0.0015     -3.64690880
12.6491    0.0015     -3.65727675
12.6491    0.0015     -3.65727675
12.6491    0.0015     -3.65727675
12.6491    0.0015     -3.65727675
12.6491    0.0015     -3.65727675
12.6491    0.0015     -3.65727675
12.6491    0.0015     -3.65727675
12.6491    0.0015     -3.65727675
12.7279    0.0015     -3.66409321
12.7279    0.0015     -3.66409321
12.7279    0.0015     -3.66409321
12.7279    0.0015     -3.66409321
12.8062    0.0015     -3.67083741
12.8062    0.0015     -3.67083741
12.8062    0.0015     -3.67083741
12.8062    0.0015     -3.67083741
12.8062    0.0015     -3.67083741
12.8062    0.0015     -3.67083741
12.8062    0.0015     -3.67083741
12.8062    0.0015     -3.67083741
13.0000    0.0014     -3.68738844
13.0000    0.0014     -3.68738844
13.0000    0.0014     -3.68738844
13.0000    0.0014     -3.68738844
13.0000    0.0014     -3.68738844
13.0000    0.0014     -3.68738844
13.0000    0.0014     -3.68738844
13.0000    0.0014     -3.68738844
13.0000    0.0014     -3.68738916
13.0000    0.0014     -3.68738916
13.0000    0.0014     -3.68738916
13.0000    0.0014     -3.68738916
13.0384    0.0014     -3.69064652
13.0384    0.0014     -3.69064652
13.0384    0.0014     -3.69064652
13.0384    0.0014     -3.69064652
13.0384    0.0014     -3.69064652
13.0384    0.0014     -3.69064652
13.0384    0.0014     -3.69064652
13.0384    0.0014     -3.69064652
13.0384    0.0014     -3.69064765
13.0384    0.0014     -3.69064765
13.0384    0.0014     -3.69064765
13.0384    0.0014     -3.69064765
13.0384    0.0014     -3.69064765
13.0384    0.0014     -3.69064765
13.0384    0.0014     -3.69064765
13.0384    0.0014     -3.69064765
13.1529    0.0014     -3.70032337
13.1529    0.0014     -3.70032337
13.1529    0.0014     -3.70032337
13.1529    0.0014     -3.70032337
13.1529    0.0014     -3.70032337
13.1529    0.0014     -3.70032337
13.1529    0.0014     -3.70032337
13.1529    0.0014     -3.70032337
13.3417    0.0014     -3.71612780
13.3417    0.0014     -3.71612780
13.3417    0.0014     -3.71612780
13.3417    0.0014     -3.71612780
13.3417    0.0014     -3.71612780
13.3417    0.0014     -3.71612780
13.3417    0.0014     -3.71612780
13.3417    0.0014     -3.71612780
13.4164    0.0014     -3.72234041
13.4164    0.0014     -3.72234041
13.4164    0.0014     -3.72234041
13.4164    0.0014     -3.72234041
13.4164    0.0014     -3.72234041
13.4164    0.0014     -3.72234041
13.4164    0.0014     -3.72234041
13.4164    0.0014     -3.72234041
13.4536    0.0014     -3.72542390
13.4536    0.0014     -3.72542390
13.4536    0.0014     -3.72542390
13.4536    0.0014     -3.72542390
13.4536    0.0014     -3.72542390
13.4536    0.0014     -3.72542390
13.4536    0.0014     -3.72542390
13.4536    0.0014     -3.72542390
13.6015    0.0013     -3.73761250
13.6015    0.0013     -3.73761250
13.6015    0.0013     -3.73761250
13.6015    0.0013     -3.73761250
13.6015    0.0013     -3.73761250
13.6015    0.0013     -3.73761250
13.6015    0.0013     -3.73761250
13.6015    0.0013     -3.73761250
13.6015    0.0013     -3.73761322
13.6015    0.0013     -3.73761322
