r           d           f
21.2028    0.0027     -3.73805239
21.2028    0.0027     -3.73805239
21.2061    0.0020     -3.74029031
21.2061    0.0020     -3.74029031
21.2277    0.0015     -3.74137936
21.2277    0.0015     -3.74137936
21.2812    0.0003     -3.74372480
21.2812    0.0003     -3.74372480
21.3203    0.0067     -3.74322008
21.3203    0.0067     -3.74322008
21.4133    0.0004     -3.75174482
21.4133    0.0004     -3.75174482
21.5026    0.0091     -3.75282279
21.5026    0.0091     -3.75282279
21.5246    0.0065     -3.75523639
21.5246    0.0065     -3.75523639
21.5576    0.0040     -3.75824166
21.5576    0.0040     -3.75824166
21.5699    0.0099     -3.75636745
21.5699    0.0099     -3.75636745
21.6480    0.0018     -3.76599499
21.6480    0.0018     -3.76599499
21.7115    0.0006     -3.76916278
21.7115    0.0006     -3.76916278
21.8161    0.0072     -3.77180992
21.8161    0.0072     -3.77180992
21.9271    0.0008     -3.78166120
21.9271    0.0008     -3.78166120
22.0565    0.0097     -3.78449168
22.0565    0.0097     -3.78449168
22.1613    0.0050     -3.79248496
22.1613    0.0050     -3.79248496
22.2193    0.0017     -3.79872425
22.2193    0.0017     -3.79872425
22.2273    0.0097     -3.79420967
22.2273    0.0097     -3.79420967
22.3400    0.0089     -3.80093495
22.3400    0.0089     -3.80093495
22.3855    0.0012     -3.80790950
22.3855    0.0012     -3.80790950
22.3986    0.0074     -3.80487849
22.3986    0.0074     -3.80487849
22.4190    0.0080     -3.80579889
22.4190    0.0080     -3.80579889
22.4975    0.0018     -3.81445525
22.4975    0.0018     -3.81445525
22.5062    0.0087     -3.81040927
22.5062    0.0087     -3.81040927
22.5139    0.0016     -3.81394506
22.5139    0.0016     -3.81394506
22.5262    0.0011     -3.81580473
22.5262    0.0011     -3.81580473
22.5624    0.0027     -3.81617999
22.5624    0.0027     -3.81617999
22.5835    0.0070     -3.81548815
22.5835    0.0070     -3.81548815
22.5999    0.0034     -3.81796969
22.5999    0.0034     -3.81796969
22.6216    0.0020     -3.81980695
22.6216    0.0020     -3.81980695
22.6279    0.0005     -3.82078235
22.6279    0.0005     -3.82078235
22.6486    0.0027     -3.82101914
22.6486    0.0027     -3.82101914
22.7335    0.0041     -3.82514352
22.7335    0.0041     -3.82514352
22.7766    0.0013     -3.82876327
22.7766    0.0013     -3.82876327
22.8422    0.0090     -3.82906843
22.8422    0.0090     -3.82906843
22.9617    0.0047     -3.83755105
22.9617    0.0047     -3.83755105
22.9867    0.0003     -3.84112203
22.9867    0.0003     -3.84112203
22.9944    0.0058     -3.83889223
22.9944    0.0058     -3.83889223
23.0256    0.0007     -3.84284888
23.0256    0.0007     -3.84284888
